"","Year","teamID","num_players","mean_salary","median_salary","sport","Annual_Avg","Inflation_Rate","win_loss"
"228",1993,"PHI",32,891822.9375,307500,"MLB",144.458333333333,2.95165696638557,0.598765432098765
"229",1993,"PIT",33,752195.96969697,209000,"MLB",144.458333333333,2.95165696638557,0.462962962962963
"230",1993,"SD",34,750333.323529412,142000,"MLB",144.458333333333,2.95165696638557,0.376543209876543
"231",1993,"SEA",33,990797.96969697,3e+05,"MLB",144.458333333333,2.95165696638557,0.506172839506173
"232",1993,"SF",31,1130645.16129032,475000,"MLB",144.458333333333,2.95165696638557,0.635802469135803
"233",1993,"STL",30,778911.133333333,257500,"MLB",144.458333333333,2.95165696638557,0.537037037037037
"234",1993,"TEX",38,957288.394736842,237500,"MLB",144.458333333333,2.95165696638557,0.530864197530864
"235",1993,"TOR",33,1432702,5e+05,"MLB",144.458333333333,2.95165696638557,0.58641975308642
"236",1993,"WSH",39,484598.282051282,126000,"MLB",144.458333333333,2.95165696638557,0.580246913580247
"237",1994,"ATL",30,1646117.1,775000,"MLB",148.225,2.60744159215459,0.581196581196581
"238",1994,"BAL",31,1253218.35483871,550000,"MLB",148.225,2.60744159215459,0.538461538461538
"239",1994,"BOS",30,1261969.46666667,5e+05,"MLB",148.225,2.60744159215459,0.461538461538462
"240",1994,"CHC",31,1170559.12903226,260000,"MLB",148.225,2.60744159215459,0.418803418803419
"241",1994,"CIN",31,1321349.4516129,450000,"MLB",148.225,2.60744159215459,0.564102564102564
"242",1994,"CLE",35,871157.142857143,4e+05,"MLB",148.225,2.60744159215459,0.564102564102564
"243",1994,"COL",34,702568.617647059,2e+05,"MLB",148.225,2.60744159215459,0.452991452991453
"244",1994,"CWS",30,1306127.86666667,705000,"MLB",148.225,2.60744159215459,0.572649572649573
"245",1994,"DET",31,1336983.90322581,8e+05,"MLB",148.225,2.60744159215459,0.452991452991453
"246",1994,"FLA",37,584675.675675676,153500,"MLB",148.225,2.60744159215459,NA
"247",1994,"HOU",33,1003818.18181818,275000,"MLB",148.225,2.60744159215459,0.564102564102564
"248",1994,"KC",27,1501530.88888889,7e+05,"MLB",148.225,2.60744159215459,0.547008547008547
"249",1994,"LAA",32,786131.8125,4e+05,"MLB",148.225,2.60744159215459,0.401709401709402
"250",1994,"LAD",31,1225806.48387097,515000,"MLB",148.225,2.60744159215459,0.495726495726496
"251",1994,"MIL",31,785500,375000,"MLB",148.225,2.60744159215459,0.452991452991453
"252",1994,"MIN",30,947950,177500,"MLB",148.225,2.60744159215459,0.452991452991453
"253",1994,"NYM",31,998599.451612903,175000,"MLB",148.225,2.60744159215459,0.47008547008547
"254",1994,"NYY",29,1576942.55172414,810000,"MLB",148.225,2.60744159215459,0.598290598290598
"255",1994,"OAK",33,1035530.3030303,190000,"MLB",148.225,2.60744159215459,0.435897435897436
"256",1994,"PHI",32,987468.75,550000,"MLB",148.225,2.60744159215459,0.461538461538462
"257",1994,"PIT",34,712272.058823529,192500,"MLB",148.225,2.60744159215459,0.452991452991453
"258",1994,"SD",35,426180.942857143,145000,"MLB",148.225,2.60744159215459,0.401709401709402
"259",1994,"SEA",33,885712.121212121,240000,"MLB",148.225,2.60744159215459,0.418803418803419
"260",1994,"SF",32,1332458.3125,675000,"MLB",148.225,2.60744159215459,0.47008547008547
"261",1994,"STL",30,975853.366666667,450000,"MLB",148.225,2.60744159215459,0.452991452991453
"262",1994,"TEX",33,999199.909090909,340000,"MLB",148.225,2.60744159215459,0.444444444444444
"263",1994,"TOR",30,1447788.93333333,550000,"MLB",148.225,2.60744159215459,0.47008547008547
"264",1994,"WSH",28,682071.428571429,187500,"MLB",148.225,2.60744159215459,0.632478632478632
"265",1995,"ATL",29,1628808.44827586,305000,"MLB",152.383333333333,2.80541968853657,0.620689655172414
"266",1995,"BAL",37,1187635.7027027,415000,"MLB",152.383333333333,2.80541968853657,0.489655172413793
"267",1995,"BOS",37,877176.162162162,272500,"MLB",152.383333333333,2.80541968853657,0.593103448275862
"268",1995,"CHC",32,922057.3125,201250,"MLB",152.383333333333,2.80541968853657,0.503448275862069
"269",1995,"CIN",34,1268960.88235294,581666.5,"MLB",152.383333333333,2.80541968853657,0.586206896551724
"270",1995,"CLE",35,1083938.14285714,516666,"MLB",152.383333333333,2.80541968853657,0.689655172413793
"271",1995,"COL",36,948742.138888889,270000,"MLB",152.383333333333,2.80541968853657,0.531034482758621
"272",1995,"CWS",35,1341750.91428571,670000,"MLB",152.383333333333,2.80541968853657,0.468965517241379
"273",1995,"DET",33,1122550.54545455,215000,"MLB",152.383333333333,2.80541968853657,0.413793103448276
"274",1995,"FLA",37,662588.675675676,175000,"MLB",152.383333333333,2.80541968853657,NA
"275",1995,"HOU",36,949162.055555556,178750,"MLB",152.383333333333,2.80541968853657,0.524137931034483
"276",1995,"KC",40,738320.85,172000,"MLB",152.383333333333,2.80541968853657,0.482758620689655
"277",1995,"LAA",33,946156.696969697,175000,"MLB",152.383333333333,2.80541968853657,0.537931034482759
"278",1995,"LAD",37,1061437.86486486,3e+05,"MLB",152.383333333333,2.80541968853657,0.537931034482759
"279",1995,"MIL",35,508537.857142857,135000,"MLB",152.383333333333,2.80541968853657,0.448275862068966
"280",1995,"MIN",33,770015.151515151,150000,"MLB",152.383333333333,2.80541968853657,0.386206896551724
"281",1995,"NYM",41,674999.804878049,125000,"MLB",152.383333333333,2.80541968853657,0.475862068965517
"282",1995,"NYY",34,1437495.61764706,5e+05,"MLB",152.383333333333,2.80541968853657,0.544827586206897
"283",1995,"OAK",37,1019979.05405405,2e+05,"MLB",152.383333333333,2.80541968853657,0.462068965517241
"284",1995,"PHI",39,783485.769230769,150000,"MLB",152.383333333333,2.80541968853657,0.475862068965517
"285",1995,"PIT",33,556222.575757576,2e+05,"MLB",152.383333333333,2.80541968853657,0.4
